epoch	perceptual loss
0	0.021008349
1	0.021715656
2	0.019084069
3	0.018140965
4	0.018231881
5	0.01827712
6	0.016650338
7	0.016727195
8	0.018347881
9	0.016885299
10	0.016713789
11	0.016330678
12	0.016156921
13	0.016252956
14	0.015308348
15	0.014843587
16	0.015967639
17	0.015321221
18	0.015407393
19	0.01522603
20	0.014332078
21	0.01459933
22	0.013941619
23	0.01361128
24	0.014246246
25	0.014191521
26	0.014024846
27	0.014106947
28	0.013571469
29	0.014034145
30	0.013421535
31	0.01419228
32	0.013234066
33	0.012497583
34	0.013865114
35	0.013420136
36	0.013347991
37	0.012194625
38	0.012693164
39	0.012512475
40	0.012168032
41	0.01214987
42	0.012953992
43	0.012833665
44	0.012748958
45	0.012568689
46	0.011433052
47	0.011834575
48	0.011310437
49	0.011755797
50	0.011905367
51	0.011867064
52	0.012347322
53	0.010745371
54	0.011368883
55	0.010998424
56	0.0142554
57	0.012183173
58	0.011727255
59	0.011105296
60	0.011124723
61	0.010659675
62	0.010763899
63	0.010584823
64	0.011362064
65	0.010318232
66	0.010562934
67	0.01028989
68	0.010242613
69	0.010119229
70	0.01018836
71	0.010412289
72	0.009561334
73	0.010466213
74	0.010838342
75	0.009832256
76	0.009997585
77	0.009738947
78	0.009645598
79	0.010784267
80	0.009977706
81	0.009878766
82	0.00941229
83	0.009301776
84	0.009304285
85	0.008861137
86	0.009506166
87	0.009104032
88	0.008461187
89	0.009634801
90	0.009440828
91	0.009574852
92	0.008822823
93	0.009083767
94	0.00936029
95	0.008798065
96	0.009991374
97	0.00935941
98	0.008657837
99	0.008754275
100	0.008463363
101	0.008570294
102	0.008114582
103	0.008103049
104	0.008563113
105	0.008153007
106	0.008420299
107	0.008694987
108	0.008077736
109	0.008489117
110	0.009695604
111	0.008607047
112	0.008628578
113	0.00853543
114	0.008841097
115	0.008080006
116	0.008154492
117	0.008329243
118	0.008357064
119	0.007728679
120	0.007719852
121	0.008181733
122	0.007574993
123	0.007389358
124	0.007711817
125	0.008102307
126	0.008311632
127	0.008419837
128	0.007738256
129	0.007551188
130	0.008093052
131	0.007745699
132	0.008071823
133	0.008907875
134	0.008040196
135	0.008975983
136	0.007725132
137	0.007782036
138	0.007765573
139	0.007527312
140	0.007614246
141	0.007400508
142	0.007277005
143	0.00714758
144	0.007649437
145	0.007871132
146	0.007251267
147	0.006879623
148	0.006737395
149	0.007271777
150	0.007035144
151	0.0065477
152	0.007140768
153	0.006982961
154	0.006462982
155	0.006695039
156	0.006739862
157	0.007022937
158	0.007147181
159	0.006785172
160	0.007341662
161	0.006703672
162	0.006958748
163	0.006515301
164	0.006298063
165	0.006321655
166	0.006632377
167	0.007065315
168	0.006857323
169	0.007369284
170	0.007650415
171	0.006622107
172	0.00652548
173	0.006447245
174	0.00628726
175	0.005938944
176	0.006610845
177	0.006487467
178	0.005942937
179	0.006363133
180	0.008417531
181	0.006931076
182	0.006142455
183	0.006254587
184	0.006086775
185	0.005944189
186	0.00678489
187	0.006058588
188	0.006115881
189	0.00764108
190	0.007526177
191	0.006471387
192	0.006272068
193	0.00592935
194	0.006143793
195	0.006600039
196	0.006307136
197	0.006494545
198	0.006001778
199	0.005823135
200	0.006215221
201	0.005997392
202	0.005996341
203	0.005703689
204	0.006212698
205	0.005756421
206	0.005604704
207	0.005925044
208	0.006207977
209	0.005660941
210	0.00542286
211	0.005700315
212	0.005559218
213	0.006364611
214	0.005706075
215	0.005228484
216	0.005496087
217	0.005290682
218	0.005589588
219	0.00612859
220	0.005549229
221	0.006075374
222	0.006046896
223	0.005849587
224	0.005654494
225	0.005696612
226	0.005510163
227	0.005570599
228	0.005189641
229	0.005173757
230	0.00563047
231	0.005835459
232	0.005654588
233	0.005628261
234	0.006070959
235	0.00598054
236	0.005451784
237	0.005296073
238	0.005445275
239	0.005253738
240	0.005290986
241	0.004996825
242	0.005183829
243	0.005095866
244	0.005276896
245	0.005464319
246	0.005846092
247	0.00562562
248	0.005200418
249	0.005121024
250	0.004948318
251	0.005011688
252	0.004839945
253	0.004911694
254	0.004650921
255	0.004939086
256	0.004852202
257	0.004683041
258	0.004818729
259	0.005195018
260	0.005185143
261	0.005184336
262	0.005115092
263	0.005093649
264	0.004795864
265	0.004715417
266	0.004781824
267	0.004616346
268	0.004597412
269	0.004619307
270	0.005179129
271	0.004836224
272	0.004617423
273	0.004513748
274	0.00458148
275	0.004630299
276	0.004586137
277	0.004649227
278	0.004797083
279	0.004729404
280	0.004608182
281	0.004412738
282	0.004415347
283	0.004542598
284	0.004626252
285	0.004570354
286	0.004513289
287	0.004355608
288	0.00435754
289	0.004248364
290	0.004466401
291	0.004373077
292	0.00450093
293	0.004139313
294	0.004295572
295	0.00435708
296	0.004637926
297	0.004392176
298	0.004211043
299	0.004369284
300	0.004449136
301	0.00425161
302	0.004543544
303	0.004370693
304	0.004245798
305	0.004233952
306	0.004102606
307	0.004028417
308	0.004097891
309	0.00495872
310	0.004284586
311	0.004069992
312	0.004167234
313	0.004159019
314	0.004284777
315	0.004368286
316	0.00412996
317	0.00406463
318	0.004153008
319	0.003964473
320	0.003969444
321	0.004256701
322	0.00419001
323	0.004314164
324	0.004120906
325	0.0039691
326	0.004159855
327	0.004092517
328	0.004244996
329	0.004053597
330	0.004086578
331	0.003905352
332	0.00398728
333	0.004215264
334	0.003879835
335	0.003864063
336	0.003760937
337	0.003933284
338	0.003957962
339	0.004269645
340	0.0041191
341	0.003892151
342	0.003718726
343	0.003725482
344	0.003793583
345	0.003818439
346	0.003893282
347	0.003801963
348	0.003879631
349	0.003830732
350	0.003858311
351	0.003903907
352	0.003994072
353	0.003728852
354	0.003733478
355	0.003586282
356	0.00405407
357	0.004011465
358	0.003682677
359	0.003814105
360	0.003748351
361	0.003939413
362	0.003902873
363	0.003634909
364	0.003694712
365	0.003781395
366	0.004051993
367	0.003733431
368	0.003698808
369	0.003831157
370	0.0037366
371	0.003839317
372	0.00373038
373	0.003788709
374	0.003560108
375	0.003671482
376	0.003625553
377	0.003392204
378	0.00361736
379	0.003642282
380	0.003635284
381	0.00338827
382	0.003535805
383	0.003697562
384	0.003564942
385	0.003409278
386	0.003682483
387	0.004103759
388	0.003757419
389	0.00361221
390	0.003546268
391	0.003597359
392	0.003492245
393	0.003568431
394	0.003443561
395	0.003520562
396	0.0035436
397	0.004131082
398	0.003469378
399	0.003550968
400	0.003488807
401	0.003434217
402	0.003629837
403	0.003331695
404	0.003448532
405	0.003614908
406	0.003375967
407	0.003554566
408	0.003703599
409	0.003431563
410	0.003498053
411	0.003469105
412	0.003461703
413	0.003280324
414	0.003368165
415	0.003919609
416	0.003544903
417	0.003316816
418	0.003302618
419	0.003255025
420	0.003312231
421	0.003233584
422	0.003349091
423	0.003321429
424	0.003330722
425	0.003566888
426	0.003445296
427	0.003308113
428	0.003148224
429	0.00324495
430	0.003226418
431	0.003098389
432	0.003161906
433	0.003310025
434	0.003313107
435	0.003170644
436	0.003312224
437	0.003333247
438	0.003435316
439	0.003401798
440	0.003401564
441	0.003350197
442	0.003492969
443	0.003276257
444	0.003279639
445	0.003292412
446	0.003210826
447	0.003177523
448	0.003070802
449	0.003136377
450	0.003379624
451	0.003183935
452	0.003144034
453	0.003149025
454	0.002997659
455	0.002955385
456	0.003085267
457	0.003420507
458	0.003254024
459	0.003024462
460	0.003195781
461	0.00306868
462	0.003112226
463	0.003026099
464	0.003205442
465	0.002908533
466	0.003153351
467	0.003160586
468	0.003007613
469	0.003248368
470	0.003200996
471	0.003086426
472	0.003096809
473	0.00304049
474	0.00305715
475	0.003002321
476	0.003019067
477	0.003193863
478	0.003132568
479	0.003020081
480	0.00294109
481	0.002993959
482	0.003090801
483	0.002900957
484	0.002843538
485	0.002956362
486	0.002987898
487	0.002826309
488	0.002928756
489	0.003042494
490	0.002935451
491	0.003107511
492	0.002912031
493	0.002935421
494	0.002920637
495	0.002961457
496	0.002909796
497	0.002870738
498	0.003267536
499	0.00293247
500	0.002942048
501	0.003037874
502	0.003137401
503	0.003008637
504	0.002898968
505	0.003017511
506	0.002758973
507	0.002919982
508	0.002801408
509	0.002953482
510	0.00317758
511	0.00290132
512	0.002787143
513	0.003647086
514	0.003041136
515	0.003105286
516	0.00292125
517	0.002774524
518	0.002811446
519	0.002915773
520	0.002782435
521	0.002696473
522	0.002614233
523	0.002771884
524	0.003049893
525	0.002804535
526	0.002721228
527	0.002857979
528	0.002976404
529	0.003131078
530	0.002757737
531	0.002929115
532	0.002877574
533	0.002834548
534	0.002738348
535	0.003120423
536	0.002860409
537	0.002634894
538	0.002721363
539	0.002938898
540	0.00282448
541	0.002834456
542	0.002769395
543	0.002854719
