epoch	Perceptual loss
0	0.026936094
1	0.015920424
2	0.015279613
3	0.014649848
4	0.015728828
5	0.014574114
6	0.014690023
7	0.014712531
8	0.013581608
9	0.014552535
10	0.014013418
11	0.014300201
12	0.014137625
13	0.014241672
14	0.014319878
15	0.014385712
16	0.01409752
17	0.013415852
18	0.014219513
19	0.013607149
20	0.014476722
21	0.014107259
22	0.014119814
23	0.014149567
24	0.013334714
25	0.013969875
26	0.013430549
27	0.014705918
28	0.012875069
29	0.013131836
30	0.013260396
31	0.012947745
32	0.013103897
33	0.013481245
34	0.013506525
35	0.012187011
36	0.012955648
37	0.012639709
38	0.012354605
39	0.013470524
40	0.011871923
41	0.01199226
42	0.011425845
43	0.011794907
44	0.011649374
45	0.011598123
46	0.012191076
47	0.012257917
48	0.012306427
49	0.011725884
50	0.011452617
51	0.011817472
52	0.012080297
53	0.011760542
54	0.012335589
55	0.012886785
56	0.011366373
57	0.01123545
58	0.011319557
59	0.011606835
60	0.01148394
61	0.011190347
62	0.011558401
63	0.011578432
64	0.011258898
65	0.01092424
66	0.011755123
67	0.011031724
68	0.011281333
69	0.010802022
70	0.01147981
71	0.011510757
72	0.010772406
73	0.010761052
74	0.010627533
75	0.010386233
76	0.010372317
77	0.010746625
78	0.010577981
79	0.010416111
80	0.010649628
81	0.010616979
82	0.011210578
83	0.010535583
84	0.010333904
85	0.01062752
86	0.010510269
87	0.011818688
88	0.010445451
89	0.009980135
90	0.009817433
91	0.009626474
92	0.009861771
93	0.009720848
94	0.009714134
95	0.010144171
96	0.010417742
97	0.010576492
98	0.010235457
99	0.010620486
100	0.010704895
101	0.009933521
102	0.009664354
103	0.00967148
104	0.009706986
105	0.009292872
106	0.009376456
107	0.009807715
108	0.008973927
109	0.009633364
110	0.009291871
111	0.010114208
112	0.010371135
113	0.009572345
114	0.0097982
115	0.009738313
116	0.009289426
117	0.009292995
118	0.008981897
119	0.009546936
120	0.009356391
121	0.008785826
122	0.009326136
123	0.008847872
124	0.008936607
125	0.008911332
126	0.009241477
127	0.008705388
128	0.009368806
129	0.008691401
130	0.008998435
131	0.008664135
132	0.0092056
133	0.009830278
134	0.008783745
135	0.009087744
136	0.009036363
137	0.008736757
138	0.008328591
139	0.008840077
140	0.009110138
141	0.008739915
142	0.008279973
143	0.008276748
144	0.00840259
145	0.008975307
146	0.008750257
147	0.009333706
148	0.009163562
149	0.008227154
150	0.009672095
151	0.00889697
152	0.008218746
153	0.008071334
154	0.008270334
155	0.007829356
156	0.007863071
157	0.008462184
158	0.007877154
159	0.00859339
160	0.008399717
161	0.00773761
162	0.008003484
163	0.00780508
164	0.007891681
165	0.008133635
166	0.008087974
167	0.00818454
168	0.00795082
169	0.007731972
170	0.007987322
171	0.008361456
172	0.008030678
173	0.008162105
174	0.008383258
175	0.007983032
176	0.00776791
177	0.007680444
178	0.007701303
179	0.007491735
180	0.007425852
181	0.007222886
182	0.007581123
183	0.007330473
184	0.007543414
185	0.007529542
186	0.008718889
187	0.007821607
188	0.008119161
189	0.007706628
190	0.00758633
191	0.007587556
192	0.007474348
193	0.010056663
194	0.008106551
195	0.007968233
196	0.007798319
197	0.007827821
198	0.007763826
199	0.007486016
200	0.007721768
201	0.00736538
202	0.007411881
203	0.008072518
204	0.007353955
205	0.006882582
206	0.007425607
207	0.00754188
208	0.006998083
209	0.00706896
210	0.007247226
211	0.007122754
212	0.007431214
213	0.007643314
214	0.007128428
215	0.007385494
216	0.007220147
217	0.007100764
218	0.007514965
219	0.007320628
220	0.007297027
221	0.007059003
222	0.007084938
223	0.007455442
224	0.007518029
225	0.007497748
226	0.006735308
227	0.007056373
228	0.007613353
229	0.007048935
230	0.007302081
231	0.007164648
232	0.006860466
233	0.006878734
234	0.007031999
235	0.007078329
236	0.007303331
237	0.00707199
238	0.00702801
239	0.006845933
240	0.007116645
241	0.00692175
242	0.007008722
243	0.007002329
244	0.006492931
245	0.006929259
246	0.006927294
247	0.007020129
248	0.006859701
249	0.00717763
250	0.006937058
251	0.006568287
252	0.006485389
253	0.006488669
254	0.006168157
255	0.006323655
256	0.006580705
257	0.006323386
258	0.006491987
259	0.006772902
260	0.006336398
261	0.006144037
262	0.006057818
263	0.006377797
264	0.006668967
265	0.006329474
266	0.006452131
267	0.006723544
268	0.006547357
269	0.0068847
270	0.006497969
271	0.006633005
272	0.007063031
273	0.007725171
274	0.006512884
275	0.006412907
276	0.006152425
277	0.006871995
278	0.006367701
279	0.006785777
280	0.006741244
281	0.00648099
282	0.006494914
283	0.006719709
284	0.006475481
285	0.006494912
286	0.006546369
287	0.00676377
288	0.006162983
289	0.006347815
290	0.006465408
291	0.006253602
292	0.006080216
293	0.006443896
294	0.006256121
295	0.006103885
296	0.006935669
297	0.006332176
298	0.005877515
299	0.00605913
300	0.005586563
301	0.00589939
302	0.005808563
303	0.00627345
304	0.006521517
305	0.006188345
306	0.006101482
307	0.006070388
308	0.006043375
309	0.006135388
310	0.006067083
311	0.006060308
312	0.005795631
313	0.005869931
314	0.006056282
315	0.006171199
316	0.005910726
317	0.005750752
318	0.00578836
319	0.005546575
320	0.006142263
