epoch	discriminator loss
0	1.833870167
1	2.234563515
2	1.932794182
3	1.626974424
4	1.45597
5	1.363818788
6	1.205885455
7	1.129877273
8	1.104955788
9	0.878297515
10	0.735633667
11	0.572466758
12	0.65285997
13	0.44087097
14	0.361860939
15	0.112136152
16	0.025099455
17	0.009051818
18	0.007087515
19	0.003972697
20	0.006408545
21	0.002737697
22	0.002002061
23	0.003280152
24	0.010662273
25	0.026114545
26	0.011451818
27	0.003679212
28	0.008153606
29	0.005363121
30	0.007781455
31	0.001827212
32	0.003219182
33	0.003782
34	0.035458909
35	0.110002182
36	0.071066
37	0.068876909
38	0.239625455
39	0.194452758
40	0.235089333
41	0.886075242
42	0.932911636
43	0.527398667
44	0.185049606
45	0.113186909
46	0.04111503
47	0.140274455
48	0.055995424
49	0.040472939
50	0.025694394
51	0.068470455
52	0.122778455
53	0.05594697
54	0.400243545
55	0.404988727
56	0.31399903
57	0.107957242
58	0.087160303
59	0.027983606
60	0.197819212
61	0.050045879
62	0.010441152
63	0.018993576
64	0.029752788
65	0.266017182
66	0.174567182
67	0.189437667
68	0.14221597
69	0.137209879
70	0.058622515
71	0.209736394
72	0.163092212
73	0.099529788
74	0.131178636
75	0.049707455
76	0.010185152
77	0.253048121
78	0.314665364
79	0.192192667
80	0.193636788
81	0.075142727
82	0.098613636
83	0.082228333
84	0.190701242
85	0.449415242
86	0.126692727
87	0.136952333
88	0.034660091
89	0.248555394
90	0.159962818
91	0.024925788
92	0.024801061
93	0.023131636
94	0.016027606
95	0.013218121
96	0.02605797
97	0.019486818
98	0.01084597
99	0.053819
100	0.13545697
101	0.096380667
102	0.192493303
103	0.089173576
104	0.029668333
105	0.151134515
106	0.518342121
107	0.357885485
108	0.268496
109	0.387332515
110	0.095474576
111	0.030349091
112	0.062603182
113	0.128570485
114	0.074025212
115	0.10211703
116	0.016622
117	0.096192848
118	0.376747727
119	0.053227091
120	0.017977212
121	0.072456485
122	0.051276758
123	0.043631121
124	0.038013152
125	0.029537
126	0.07978603
127	0.058454212
128	0.003096485
129	0.074856242
130	0.109214364
131	0.211769636
132	0.102485606
133	0.014554818
134	0.011107333
135	0.013483424
136	0.096419152
137	0.019528848
138	0.151545182
139	0.046787636
140	0.385528727
141	0.078477273
142	0.299900333
143	0.245696273
144	0.059631606
145	0.020912394
146	0.002778333
147	0.066492788
148	0.066629697
149	0.125512848
150	0.012274727
151	0.282066182
152	0.470130727
153	0.185646727
154	0.076893939
155	0.212041909
156	0.195920485
157	0.293286727
158	0.066506788
159	0.019603152
160	0.150718848
161	0.024987606
162	0.143283939
163	0.041175667
164	0.095548242
165	0.059322091
166	0.166029848
167	0.007173818
168	0.32411603
169	0.103183121
170	0.056714394
171	0.059820455
172	0.18298397
173	0.033920848
174	0.029581818
